=== RESUMO DOS BLOCOS DE MÍDIA ===
"Mídia","Budget Input","Ciclo (semanas)","UF","Praça","Taxonomia","Exibidores","Formato","Região","Cluster Exibidores","Cluster Formato","Periodicidade","Flight","Digital","Estático","Faces Alocadas","Budget Utilizado","Budget Ideal","Sobrando","Status"
"Mídia 1","R$ 10.000.000,00","1","Tudo","Tudo","Tudo","Tudo","Tudo","norte","Tudo","Tudo","Tudo","Tudo","Não","Não","523","R$ 2.011.768,10","R$ 1.604.647,30","R$ 7.988.231,90","excessive"
"Mídia 2","R$ 1.312.312,00","1","rj","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Não","Não","914","R$ 1.311.510,00","R$ 33.748.018,40","R$ 802,00","insufficient"

=== FACES RECOMENDADAS (DETALHADO) ===
"Mídia","Prioridade","Praça","UF","Exibidores","Taxonomia","Formato","Qtd Disponível","Preço Unitário","ROI","Alocado"
"Mídia 1","58","manaus","am","Brasil Midia Exterior","ouro promo","Painel de Led","4","R$ 6.300,00","4.3700","0"
"Mídia 1","59","manaus","am","Bureau Midia OOH","ouro produto","Painel de Led","4","R$ 6.735,00","4.3100","0"
"Mídia 1","60","manaus","am","Bureau Midia OOH","ouro promo","Painel de Led","4","R$ 6.735,00","4.3100","0"
"Mídia 1","61","belem","pa","Bureau de Mídia","ouro produto","Painel de Led","4","R$ 6.906,25","4.2900","0"
"Mídia 1","62","belem","pa","Bureau de Mídia","ouro promo","Painel de Led","4","R$ 6.906,25","4.2900","0"
"Mídia 1","63","rio branco","ac","s2XPromoções","prata","Carro de Som","1","R$ 1.228,80","4.2600","0"
"Mídia 1","64","palmas","to","Bureau de Midia","ouro produto","Painel de Led","3","R$ 5.520,00","3.9200","0"
"Mídia 1","65","palmas","to","Bureau de Midia","ouro promo","Painel de Led","3","R$ 5.520,00","3.9200","0"
"Mídia 1","66","rio branco","ac","Atual Publicidade","data produto","Painel de Led - Topo de Prédio","3","R$ 3.584,00","3.9100","0"
"Mídia 1","67","rio branco","ac","Atual Publicidade","data promo","Painel de Led - Topo de Prédio","3","R$ 3.584,00","3.9100","0"
"Mídia 1","68","macapa","ap","Atos","ouro promo","Frontlight","2","R$ 1.960,00","3.5600","0"
"Mídia 1","69","macapa","ap","Bureau de mídia","data promo","Bikedoor","2","R$ 1.960,00","3.4400","0"
"Mídia 1","70","rio branco","ac","Atual Publicidade","ouro produto","Painel de Led - Topo de Prédio","2","R$ 3.584,00","3.3400","0"
"Mídia 1","71","rio branco","ac","Atual Publicidade","ouro promo","Painel de Led - Topo de Prédio","2","R$ 3.584,00","3.3400","0"
"Mídia 1","72","belem","pa","Brasil Midia Exterior","data produto","Frontlight","4","R$ 6.750,00","3.2900","0"
"Mídia 1","73","belem","pa","Brasil Midia Exterior","data promo","Frontlight","4","R$ 6.750,00","3.2900","0"
"Mídia 1","74","belem","pa","Brasil Midia Exterior","prata","Frontlight","4","R$ 6.750,00","3.2900","0"
"Mídia 1","75","palmas","to","Tocantis / Apice","ouro produto","Painel de Led","3","R$ 16.200,00","3.2400","0"
"Mídia 1","76","palmas","to","Tocantis / Apice","ouro promo","Painel de Led","3","R$ 16.200,00","3.2400","0"
"Mídia 1","77","palmas","to","Bureau de Midia","prata","Painel de Led","2","R$ 5.520,00","3.0600","0"
"Mídia 1","78","macapa","ap","Atos","data produto","Frontlight","2","R$ 2.800,00","2.8900","0"
"Mídia 1","79","macapa","ap","Atos","data promo","Frontlight","2","R$ 2.800,00","2.8900","0"
"Mídia 1","80","macapa","ap","Atos","ouro produto","Frontlight","2","R$ 2.800,00","2.8900","0"
"Mídia 1","81","macapa","ap","Atos","prata","Frontlight","2","R$ 2.800,00","2.8900","0"
"Mídia 1","82","manaus","am","Brasil Midia Exterior","data produto","Frontlight","2","R$ 2.800,00","2.8900","0"
"Mídia 1","83","manaus","am","Bureau Midia OOH","data produto","Frontlight","2","R$ 2.800,00","2.8900","0"
"Mídia 1","84","manaus","am","Brasil Midia Exterior","data produto","Painel de Led","2","R$ 5.148,00","2.8500","0"
"Mídia 1","85","rio branco","ac","Atual Publicidade","data produto","Frontlight","2","R$ 3.254,40","2.6700","0"
"Mídia 1","86","rio branco","ac","Atual Publicidade","data promo","Frontlight","2","R$ 3.254,40","2.6700","0"
"Mídia 1","87","belem","pa","Brasil Midia Exterior","ouro produto","Frontlight","3","R$ 6.750,00","2.6300","0"
"Mídia 1","88","belem","pa","Brasil Midia Exterior","ouro promo","Frontlight","3","R$ 6.750,00","2.6300","0"
"Mídia 1","89","manaus","am","Bureau Midia OOH","prata","Painel de Led","2","R$ 6.735,00","2.5800","0"
"Mídia 1","90","manaus","am","Brasil Midia Exterior","ouro produto","Frontlight","2","R$ 6.750,00","2.4100","0"
"Mídia 1","91","manaus","am","Brasil Midia Exterior","ouro promo","Frontlight","2","R$ 6.750,00","2.4100","0"
"Mídia 1","92","rio branco","ac","Atual Publicidade","ouro produto","Frontlight","1","R$ 3.254,40","2.2300","0"
"Mídia 1","93","rio branco","ac","Atual Publicidade","ouro promo","Frontlight","1","R$ 3.254,40","2.2300","0"
"Mídia 1","94","rio branco","ac","Atual Publicidade","prata","Painel de Led - Topo de Prédio","1","R$ 3.584,00","2.1800","0"
"Mídia 1","95","manaus","am","Bureau Midia OOH","ouro produto","Frontlight","2","R$ 10.875,00","2.1600","0"
"Mídia 1","96","manaus","am","Bureau Midia OOH","ouro promo","Frontlight","2","R$ 10.875,00","2.1600","0"
"Mídia 1","97","rio branco","ac","Atual Publicidade","prata","Frontlight","1","R$ 3.254,40","1.7900","0"
"Mídia 1","98","manaus","am","Brasil Midia Exterior","prata","Frontlight","1","R$ 6.750,00","1.7500","0"
"Mídia 1","99","belem","pa","Bureau de Mídia","data produto","Envelopamento Barco","1","R$ 73.000,00","0.8500","0"
"Mídia 1","100","belem","pa","Bureau de Mídia","ouro produto","Envelopamento Barco","1","R$ 73.000,00","0.8500","0"
"Mídia 2","1","rio de janeiro","rj","Movie Midia","ouro promo","Street Front","18","R$ 0,00","Infinity","0"
"Mídia 2","2","rio de janeiro","rj","JcDecaux","data produto","Mub - Bloco Standard","50","R$ 419,58","69.5300","0"
"Mídia 2","3","rio de janeiro","rj","JcDecaux","data promo","Mub - Bloco Standard","50","R$ 419,58","69.5300","0"
"Mídia 2","4","rio de janeiro","rj","JcDecaux","ouro produto","Mub - Bloco Standard","50","R$ 419,58","69.5300","0"
"Mídia 2","5","rio de janeiro","rj","JcDecaux","ouro promo","Mub - Bloco Standard","50","R$ 419,58","69.5300","0"
"Mídia 2","6","rio de janeiro","rj","Clear Channel","data produto","Mub 100 - RJ ","100","R$ 664,05","46.0200","0"
"Mídia 2","7","rio de janeiro","rj","Clear Channel","data promo","Mub 100 - RJ ","100","R$ 664,05","46.0200","0"
"Mídia 2","8","rio de janeiro","rj","Clear Channel","ouro produto","Mub 100 - RJ ","100","R$ 664,05","46.0200","0"
"Mídia 2","9","rio de janeiro","rj","Clear Channel","ouro promo","Mub 100 - RJ ","100","R$ 664,05","46.0200","0"
